model_name,cv_f1,test_f1,uses_pca,tuned
ridge,84.89235004754613,85.08989320957059,False,False
histgradientboosting,95.6569853450743,95.5999819486439,False,False
xgboost,95.77296749518852,95.77960140679953,False,False
lightgbm,95.85865227403693,96.0180790960452,False,False
ridge_with_pca,83.1059585674316,83.08988260596828,True,False
histgradientboosting_with_pca,91.18412362117208,91.41223971328768,True,False
xgboost_with_pca,92.19906775421177,92.62387641718234,True,False
lightgbm_with_pca,92.37003843426164,92.82582161746757,True,False
