model_name,cv_f1,test_f1,uses_pca,tuned
ridge,84.88435620966656,85.07072709253086,False,False
histgradientboosting,95.39625934443914,95.43009537585318,False,False
xgboost,95.67176924720583,95.82825959500293,False,False
lightgbm,95.83158168049698,95.8440736218514,False,False
ridge_with_pca,81.5689417786323,82.08187241018169,True,False
histgradientboosting_with_pca,90.01755029239803,90.23111637872088,True,False
xgboost_with_pca,92.30725043952307,92.55748560025397,True,False
lightgbm_with_pca,91.16342706878523,91.56221616712081,True,False
